"ID","name","namespace","definition"
"GO:0001720","conversion of lysyl-tRNA to pyrrolysyl-tRNA","biological_process","The modification process that results in the conversion of lysine, carried by a specialized lysine-accepting tRNA (possessing a CUA anticodon), to pyrrolysine (a lysine with an amide linkage to a (4R,5R)-4-substituted pyrroline-5-carboxylate)."
"GO:0001768","establishment of T cell polarity","biological_process","The directed orientation of T cell signaling molecules and associated membrane rafts towards a chemokine gradient or a contact point with antigen presenting cell."
"GO:0001769","establishment of B cell polarity","biological_process","The directed orientation of B cell signaling molecules and associated membrane rafts towards a chemokine gradient of a contact point with an antigen displaying cell."
"GO:0001776","leukocyte homeostasis","biological_process","The process of regulating the proliferation and elimination of cells of the immune system such that the total number of cells of a particular cell type within a whole or part of an organism is stable over time in the absence of an outside stimulus."
"GO:0001783","B cell apoptotic process","biological_process","Any apoptotic process in a B cell, a lymphocyte of B lineage with the phenotype CD19-positive and capable of B cell mediated immunity."
"GO:0001788","antibody-dependent cellular cytotoxicity","biological_process","Cytolysis of target cells by natural killer cells, eosinophils, neutrophils, monocytes, or macrophages following engagement of antibodies bound to the target cells by Fc receptors on the effector cells."
"GO:0001790","polymeric immunoglobulin binding","molecular_function","Interacting selectively and non-covalently with a J-chain-containing polymeric immunoglobulin of the IgA or IgM isotypes."
"GO:0001791","IgM binding","molecular_function","Interacting selectively and non-covalently with an immunoglobulin of the IgM isotype."
"GO:0001792","polymeric immunoglobulin receptor activity","molecular_function","Combining with a J-chain-containing polymeric immunoglobulin of the IgA or IgM isotypes via the Fc region, and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity."
"GO:0001793","IgM receptor activity","molecular_function","Combining with an immunoglobulin of the IgM isotype via the Fc region, and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity."
"GO:0001794","type IIa hypersensitivity","biological_process","An inflammatory response resulting in cell death mediated by activation of the classical complement pathway or induction of effector cell phagocytosis or cytolysis mechanisms via complement or Fc receptors following the binding of antibodies to cell surface antigens on a target cell."
"GO:0001795","type IIb hypersensitivity","biological_process","An inflammatory response resulting in cell death or dysfunction mediated by the direct binding of antibody to cellular receptors."
"GO:0001802","type III hypersensitivity","biological_process","An inflammatory response resulting from recognition of immune complexes via complement or Fc receptors on effector cells leading to activation of neutrophils and other leukocytes and damage to bystander tissue."
"GO:0001806","type IV hypersensitivity","biological_process","An inflammatory response driven by T cell recognition of processed soluble or cell-associated antigens leading to cytokine release and leukocyte activation."
"GO:0001813","regulation of antibody-dependent cellular cytotoxicity","biological_process","Any process that modulates the frequency, rate, or extent of antibody-dependent cellular cytotoxicity."
"GO:0001814","negative regulation of antibody-dependent cellular cytotoxicity","biological_process","Any process that stops, prevents, or reduces the rate of antibody-dependent cellular cytotoxicity."
"GO:0001815","positive regulation of antibody-dependent cellular cytotoxicity","biological_process","Any process that activates or increases the frequency, rate or extent of antibody-dependent cellular cytotoxicity."
"GO:0001820","serotonin secretion","biological_process","The regulated release of serotonin by a cell. Serotonin (5-hydroxytryptamine, or 5-HT) is a monoamine synthesised in serotonergic neurons in the central nervous system, enterochromaffin cells in the gastrointestinal tract and some immune system cells."
"GO:0001846","opsonin binding","molecular_function","Interacting selectively and non-covalently with an opsonin, such as a complement component or antibody, deposited on the surface of a bacteria, virus, immune complex, or other particulate material."
"GO:0001867","complement activation, lectin pathway","biological_process","Any process involved in the activation of any of the steps of the lectin pathway of the complement cascade which allows for the direct killing of microbes and the regulation of other immune processes."
"GO:0001873","polysaccharide immune receptor activity","molecular_function","Combining with a polysaccharide and transmitting the signal to initiate an innate immune response. A polysaccharide is a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."
"GO:0001874","(1->3)-beta-D-glucan immune receptor activity","molecular_function","Combining with (1->3)-beta-D-glucans to initiate an innate immune response."
"GO:0001875","lipopolysaccharide immune receptor activity","molecular_function","Combining with a lipopolysaccharide and transmitting the signal across the cell membrane to initiate an innate immune response. Lipopolysaccharides (LPS) are major components of the outer membrane of Gram-negative bacteria, making them prime targets for recognition by the immune system."
"GO:0001877","lipoarabinomannan immune receptor activity","molecular_function","Combining with lipoarabinomannan and transmitting the signal to initiate an innate immune response."
"GO:0001931","uropod","cellular_component","A membrane projection with related cytoskeletal components at the trailing edge of a cell in the process of migrating or being activated, found on the opposite side of the cell from the leading edge or immunological synapse, respectively."
"GO:0001977","renal system process involved in regulation of blood volume","biological_process","A slow mechanism of blood pressure regulation that responds to changes in pressure resulting from fluid and salt intake by modulating the quantity of blood in the circulatory system."
"GO:0002047","phenazine biosynthetic process","biological_process","The chemical reactions and pathways resulting in the formation of a phenazine antibiotic, a polycyclic pyrazine with two nitrogen atoms in the ring."
"GO:0002097","tRNA wobble base modification","biological_process","The process in which the nucleotide at position 34 in the anticodon of a tRNA is post-transcriptionally modified."
"GO:0002127","tRNA wobble base cytosine methylation","biological_process","The process in which the base of cytosine at position 34 in the anticodon of a tRNA is post-transcriptionally methylated at the C5 position."
"GO:0002129","wobble position guanine ribose methylation","biological_process","The process in which the ribose of guanosine at position 34 in the anticodon of a tRNA is post-transcriptionally methylated at the 2'-O position."
"GO:0002130","wobble position ribose methylation","biological_process","The process in which the ribose base of the nucleotide at position 34 in the anticodon of a tRNA is post-transcriptionally methylated at the 2'O position."
"GO:0002131","wobble position cytosine ribose methylation","biological_process","The process in which the ribose of cytidine at position 34 in the anticodon of a tRNA is post-transcriptionally methylated at the 2'-O position."
"GO:0002132","wobble position uridine ribose methylation","biological_process","The process in which the ribose of uridine at position 34 in the anticodon of a tRNA is post-transcriptionally methylated at the 2'-O position."
"GO:0002143","tRNA wobble position uridine thiolation","biological_process","The process in which a uridine residue at position 34 in the anticodon of a tRNA is post-transcriptionally thiolated at the C2 position. This process involves transfer of a sulfur from cysteine to position C2 by several steps."
"GO:0002170","high-affinity IgA receptor activity","molecular_function","Combining with high affinity with an immunoglobulin of an IgA isotype via the Fc region, and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity."
"GO:0002171","low-affinity IgA receptor activity","molecular_function","Combining with low affinity with an immunoglobulin of an IgA isotype via the Fc region, and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity."
"GO:0002172","high-affinity IgM receptor activity","molecular_function","Combining with high affinity with an immunoglobulin of an IgM isotype via the Fc region, and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity."
"GO:0002173","low-affinity IgM receptor activity","molecular_function","Combining with low affinity with an immunoglobulin of an IgM isotype via the Fc region, and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity."
"GO:0002195","2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine-tRNA biosynthesis","biological_process","The chemical reactions and pathways involved in the biosynthesis of 2-methylthio-N-6-(cis-hydroxy)isopentenyl adenosine (ms2io6A), a modified nucleoside present in position 37 (adjacent to and 3' of the anticodon) of tRNAs."
"GO:0002200","somatic diversification of immune receptors","biological_process","The somatic process allowing for the production of immune receptors whose specificity is not encoded in the germline genomic sequences."
"GO:0002201","somatic diversification of DSCAM-based immune receptors","biological_process","The somatic process that results in the generation of sequence diversity of the DSCAM-based immune receptors of insects."
"GO:0002203","proteolysis by cytosolic proteases associated with antigen processing and presentation","biological_process","The hydrolysis of a peptide bond or bonds within a protein by cytosolic resident proteases during antigen processing and presentation."
"GO:0002204","somatic recombination of immunoglobulin genes involved in immune response","biological_process","The process in which immunoglobulin genes are formed through recombination of the germline genetic elements, also known as immunoglobulin gene segments, within a single locus following the induction of and contributing to an immune response."
"GO:0002205","somatic hypermutation of immunoglobulin genes involved in immune response","biological_process","Mutations occurring somatically that result in amino acid changes in the rearranged V regions of immunoglobulins following the induction of and contributing to an immune response."
"GO:0002206","gene conversion of immunoglobulin genes","biological_process","The somatic process in which immunoglobulin genes are diversified through the mechanism of gene conversion."
"GO:0002207","gene conversion of immunoglobulin genes involved in immune response","biological_process","The somatic process in which immunoglobulin genes are diversified through the mechanism of gene conversion following the induction of and contributing to an immune response."
"GO:0002208","somatic diversification of immunoglobulins involved in immune response","biological_process","The somatic process that results in the generation of sequence diversity of immunoglobulins after induction, and contributes to an immune response."
"GO:0002218","activation of innate immune response","biological_process","Any process that initiates an innate immune response. Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens. Examples of this process include activation of the hypersensitive response of Arabidopsis thaliana and activation of any NOD or TLR signaling pathway in vertebrate species."
"GO:0002220","innate immune response activating cell surface receptor signaling pathway","biological_process","Any series of molecular signals leading to activation of the innate immune response generated as a consequence of binding to a cell surface receptor."
"GO:0002222","stimulatory killer cell immunoglobulin-like receptor signaling pathway","biological_process","Any series of molecular signals generated as a consequence of binding to a killer cell immunoglobulin-like receptor capable of cellular activation."
"GO:0002224","toll-like receptor signaling pathway","biological_process","Any series of molecular signals generated as a consequence of binding to a toll-like receptor. Toll-like receptors directly bind pattern motifs from a variety of microbial sources to initiate innate immune response."
"GO:0002225","positive regulation of antimicrobial peptide production","biological_process","Any process that activates or increases the frequency, rate, or extent of antimicrobial peptide production."
"GO:0002227","innate immune response in mucosa","biological_process","Any process of the innate immune response that takes place in the mucosal tissues."
"GO:0002228","natural killer cell mediated immunity","biological_process","The promotion of an immune response by natural killer cells through direct recognition of target cells or through the release of cytokines."
"GO:0002230","positive regulation of defense response to virus by host","biological_process","Any host process that results in the promotion of antiviral immune response mechanisms, thereby limiting viral replication."
"GO:0002232","leukocyte chemotaxis involved in inflammatory response","biological_process","The movement of an immune cell in response to an external stimulus contributing to an inflammatory response."
"GO:0002233","leukocyte chemotaxis involved in immune response","biological_process","The movement of an immune cell in response to an external stimulus a part of an immune response."
"GO:0002250","adaptive immune response","biological_process","An immune response mediated by cells expressing specific receptors for antigen produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."
"GO:0002251","organ or tissue specific immune response","biological_process","An immune response taking place in an organ or tissues such as the liver, brain, mucosa, or nervous system tissues."
"GO:0002252","immune effector process","biological_process","Any process of the immune system that can potentially contribute to an immune response."
"GO:0002253","activation of immune response","biological_process","Any process that initiates an immune response."
"GO:0002259","endothelial cell activation within high endothelial venule involved in immune response","biological_process","A change in the morphology or behavior of an endothelial cell within a high endothelial venule resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response."
"GO:0002263","cell activation involved in immune response","biological_process","A change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response."
"GO:0002264","endothelial cell activation involved in immune response","biological_process","A change in the morphology or behavior of an endothelial cell resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response."
"GO:0002265","astrocyte activation involved in immune response","biological_process","A change in the morphology or behavior of an astrocyte resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response."
"GO:0002267","follicular dendritic cell activation involved in immune response","biological_process","A change in the morphology or behavior of a follicular dendritic cell resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response."
"GO:0002271","plasmacytoid dendritic cell activation involved in immune response","biological_process","A change in the morphology or behavior of a plasmacytoid dendritic cell resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response."
"GO:0002272","plasmacytoid dendritic cell differentiation involved in immune response","biological_process","The process in which an immature plasmacytoid dendritic cell acquires the specialized features of a mature plasmacytoid dendritic cell contributing to an immune response."
"GO:0002275","myeloid cell activation involved in immune response","biological_process","A change in the morphology or behavior of a myeloid cell resulting from exposure to an activating factor such as a cellular or soluble ligand, leading to the initiation or perpetuation of an immune response."
"GO:0002276","basophil activation involved in immune response","biological_process","A change in morphology and behavior of a basophil resulting from exposure to a cytokine, chemokine, soluble factor, or to (at least in mammals) an antigen which the basophil has specifically bound via IgE bound to Fc-epsilonRI receptors, leading to the initiation or perpetuation of an immune response."
"GO:0002277","myeloid dendritic cell activation involved in immune response","biological_process","The change in morphology and behavior of a myeloid dendritic cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0002278","eosinophil activation involved in immune response","biological_process","The change in morphology and behavior of a eosinophil resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0002279","mast cell activation involved in immune response","biological_process","The change in morphology and behavior of a mast cell resulting from exposure to a cytokine, chemokine, soluble factor, or to (at least in mammals) an antigen which the mast cell has specifically bound via IgE bound to Fc-epsilonRI receptors, leading to the initiation or perpetuation of an immune response."
"GO:0002280","monocyte activation involved in immune response","biological_process","The change in morphology and behavior of a monocyte resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0002281","macrophage activation involved in immune response","biological_process","A change in morphology and behavior of a macrophage resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0002282","microglial cell activation involved in immune response","biological_process","The change in morphology and behavior of a microglial cell resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0002283","neutrophil activation involved in immune response","biological_process","The change in morphology and behavior of a neutrophil resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0002284","myeloid dendritic cell differentiation involved in immune response","biological_process","The process in which an immature myeloid dendritic cell acquires the specialized features of a mature myeloid dendritic cell as part of an immune response."
"GO:0002285","lymphocyte activation involved in immune response","biological_process","A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0002286","T cell activation involved in immune response","biological_process","The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific, leading to the initiation or perpetuation of an immune response."
"GO:0002287","alpha-beta T cell activation involved in immune response","biological_process","The change in morphology and behavior of an alpha-beta T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific, leading to the initiation or perpetuation of an immune response."
"GO:0002288","NK T cell activation involved in immune response","biological_process","The change in morphology and behavior of a mature or immature natural killer T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific, leading to the initiation or perpetuation of an immune response."
"GO:0002289","NK T cell proliferation involved in immune response","biological_process","The expansion of a NK T cell population by cell division as part of an immune response."
"GO:0002290","gamma-delta T cell activation involved in immune response","biological_process","The change in morphology and behavior of a gamma-delta T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific, leading to the initiation or perpetuation of an immune response."
"GO:0002291","T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell","biological_process","The change in morphology and behavior of a mature or immature T cell resulting from exposure to an antigen for which its T cell receptor is specific bound to an MHC molecule on an antigen presenting cell, leading to the initiation or perpetuation of an immune response."
"GO:0002292","T cell differentiation involved in immune response","biological_process","The process in which an antigenically naive T cell acquires the specialized features of an effector, regulatory, or memory T cell as part of an immune response. Effector T cells include cells which provide T cell help or exhibit cytotoxicity towards other cells."
"GO:0002293","alpha-beta T cell differentiation involved in immune response","biological_process","The process in which an antigenically naive alpha-beta T cell acquires the specialized features of an effector, regulatory, or memory T cell during an immune response. Effector T cells include cells which provide T cell help or exhibit cytotoxicity towards other cells."
"GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response","biological_process","The process in which an antigenically naive CD4-positive, alpha-beta T cell acquires the specialized features of an effector, regulatory, or memory T cell as part of an immune response. Effector T cells include cells which provide T cell help or exhibit cytotoxicity towards other cells."
"GO:0002295","T-helper cell lineage commitment","biological_process","The process in which a CD4-positive, alpha-beta T cell becomes committed to becoming a T-helper cell, a CD4-positive, alpha-beta T cell specialized to promote various immunological processes."
"GO:0002296","T-helper 1 cell lineage commitment","biological_process","The process in which a CD4-positive, alpha-beta T cell becomes committed to becoming a T-helper 1 cell, a CD4-positive, alpha-beta T cell specialized to promote immunological processes often associated with resistance to intracellular bacteria, fungi, and protozoa, and pathological conditions such as arthritis."
"GO:0002297","T-helper 2 cell lineage commitment","biological_process","The process in which a CD4-positive, alpha-beta T cell becomes committed to becoming a T-helper 2 cell, a CD4-positive, alpha-beta T cell specialized to promote immunological processes often associated with resistance to extracellular organisms such as helminths, enhanced production of particular antibody isotypes, and pathological conditions such as allergy."
"GO:0002298","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response","biological_process","The process in which an antigenically naive CD4-positive, alpha-beta T cell acquires the specialized features of a CD4-positive, CD25-positive, alpha-beta regulatory T cell as part of an immune response."
"GO:0002302","CD8-positive, alpha-beta T cell differentiation involved in immune response","biological_process","The process in which an antigenically naive CD8-positive, alpha-beta T cell acquires the specialized features of an effector, regulatory, or memory T cell as part of an immune response. Effector T cells include cells which provide T cell help or exhibit cytotoxicity towards other cells."
"GO:0002303","gamma-delta T cell differentiation involved in immune response","biological_process","The process in which an antigenically naive gamma-delta T cell acquires the specialized features of an effector, regulatory, or memory T cell and contributes to an immune response. Effector T cells include cells which provide T cell help or exhibit cytotoxicity towards other cells."
"GO:0002309","T cell proliferation involved in immune response","biological_process","The expansion of a T cell population by cell division as part of an immune response."
"GO:0002310","alpha-beta T cell proliferation involved in immune response","biological_process","The expansion of an alpha-beta T cell population by cell division as part of an immune response."
"GO:0002311","gamma-delta T cell proliferation involved in immune response","biological_process","The expansion of a gamma-delta T cell population by cell division as part of an immune response."
"GO:0002312","B cell activation involved in immune response","biological_process","The change in morphology and behavior of a mature or immature B cell during an immune response, resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."
"GO:0002313","mature B cell differentiation involved in immune response","biological_process","The process in which a naive B cell acquires the specialized features of a mature or memory B cell during an immune response."
"GO:0002315","marginal zone B cell differentiation","biological_process","The process in which a B cell in the spleen acquires the specialized features of a marginal zone B cell. Marginal zone B cells are localized in a distinct anatomical region of the spleen that represents the major antigen-filtering and scavenging area (by specialized macrophages resident there). It appears that they are preselected to express a BCR repertoire similar to B-1 B cells, biased toward bacterial cell wall constituents and senescent self-components (such as oxidized LDL)."
"GO:0002317","plasma cell differentiation","biological_process","The process in which a B cell acquires the specialized features of a plasma cell. A plasma cell is a lymphocyte which develops from a B cell and produces high amounts of antibody."
"GO:0002319","memory B cell differentiation","biological_process","The process in which a B cell acquires the specialized features of a memory B cell. Memory B cells are cells that can respond rapidly to antigen re-exposure by production of high-affinity antibody."
"GO:0002322","B cell proliferation involved in immune response","biological_process","The expansion of a B cell population by cell division following B cell activation during an immune response."
"GO:0002323","natural killer cell activation involved in immune response","biological_process","The change in morphology and behavior of a natural killer cell resulting from exposure a cytokine, chemokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0002324","natural killer cell proliferation involved in immune response","biological_process","The expansion of a natural killer cell population by cell division as part of an immune response."
"GO:0002325","natural killer cell differentiation involved in immune response","biological_process","The process in which a naive natural killer cell acquires the specialized features of an effector natural killer T cell as part of an immune response."
"GO:0002339","B cell selection","biological_process","The process dependent upon B cell antigen receptor signaling in response to self or foreign antigen through which B cells are selected for survival."
"GO:0002344","B cell affinity maturation","biological_process","The process in which B cells produce antibodies with increased antigen affinity. This is accomplished by somatic hypermutation and selection for B cells which produce higher affinity antibodies to antigen."
"GO:0002345","peripheral B cell receptor editing","biological_process","The process that takes place mainly in germinal center B cells in which a large number of mutations are generated in the heavy chain and light chain V-region genes and their immediately surrounding introns in order to increase antibody diversity and contribute to affinity maturation."
"GO:0002346","B cell positive selection","biological_process","Any process in which B cells are selected to survive based on signaling through the B cell antigen receptor."
"GO:0002348","central B cell positive selection","biological_process","Any process leading to positive selection of B cells in the bone marrow. Positive selection is the process in which B or T cells are selected to survive based on signaling through their antigen receptors."
"GO:0002350","peripheral B cell positive selection","biological_process","Any process leading to positive selection of B cells in the periphery. Positive selection is the process in which B or T cells are selected to survive based on signaling through their antigen receptors."
"GO:0002366","leukocyte activation involved in immune response","biological_process","A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor, leading to the initiation or perpetuation of an immune response."
"GO:0002367","cytokine production involved in immune response","biological_process","The appearance of a cytokine due to biosynthesis or secretion following a cellular stimulus contributing to an immune response, resulting in an increase in its intracellular or extracellular levels."
"GO:0002376","immune system process","biological_process","Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."
"GO:0002377","immunoglobulin production","biological_process","The appearance of immunoglobulin due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."
"GO:0002381","immunoglobulin production involved in immunoglobulin-mediated immune response","biological_process","The appearance of immunoglobulin due to biosynthesis or secretion following a cellular stimulus during an immune response, resulting in an increase in its intracellular or extracellular levels."
"GO:0002383","immune response in brain or nervous system","biological_process","An immune response taking place in the brain or nervous system."
"GO:0002384","hepatic immune response","biological_process","An immune response taking place in the liver."
"GO:0002385","mucosal immune response","biological_process","An immune response taking place in mucosal tissues, including those of the intestinal tract, nasal and upper respiratory tract, and genital tract."
"GO:0002395","immune response in nasopharyngeal-associated lymphoid tissue","biological_process","An immune response taking place in the nasopharyngeal-associated lymphoid tissue (NALT). NALT includes the tonsils and adenoids."
"GO:0002404","antigen sampling in mucosal-associated lymphoid tissue","biological_process","The process of apical-to-basolateral delivery of soluble and particulate antigens to underlying mucosal-associated lymphoid tissue."
"GO:0002405","antigen sampling by dendritic cells in mucosal-associated lymphoid tissue","biological_process","The process of antigen sampling carried out by dendritic cells in the mucosal-associated lymphoid tissue."
"GO:0002406","antigen sampling by M cells in mucosal-associated lymphoid tissue","biological_process","The process of antigen samples carried out by M cells in the mucosal-associated lymphoid tissue."
"GO:0002411","T cell tolerance induction to tumor cell","biological_process","A process of tolerance induction dependent on T cells which leads to immunological tolerance of a tumor."
"GO:0002412","antigen transcytosis by M cells in mucosal-associated lymphoid tissue","biological_process","The process of antigen transcytosis carried out by M cells in the mucosal-associated lymphoid tissue (MALT). Transcytosis is the process of the directed movement of endocytosed material through the cell and its exocytosis from the plasma membrane at the opposite side. M cells are specialized epithelia cells with a microfold structure that are adept at moving antigens from the gut lumen to antigen presenting cells in the MALT."
"GO:0002413","tolerance induction to tumor cell","biological_process","A process of tolerance induction which leads to immunological tolerance of a tumor."
"GO:0002414","immunoglobulin transcytosis in epithelial cells","biological_process","The process of transporting immunoglobulin, via transcytosis, from one side of an epithelial cell to the other."
"GO:0002415","immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor","biological_process","The process of transporting polymeric IgA and polymeric IgM immunoglobulin, via transcytosis mediated by the polymeric immunoglobulin receptor (pIgR), from the basolateral surface to apical surface of an epithelial cell. At the apical surface the immunoglobulin binding portion of the pIgRis cleaved and remains bound to the transported immunoglobulin as secretory component (SC). The same process is used for the transport and excretion of IgA immune complexes to the luminal surface of the mucosa."
"GO:0002416","IgG immunoglobulin transcytosis in epithelial cells mediated by FcRn immunoglobulin receptor","biological_process","The process of transporting IgG immunoglobulin, via transcytosis using the FcRn (also known as the neonatal Fc receptor; gene name FCGRT), from apical surface of an epithelial cell to the basolateral surface or vice versa depending on the location. This process is used for uptake of IgG from the milk in the gut in rodents, for transplacental transport of IgG from mother to embryo in humans, and for maintenance of a steady-state distribution of IgG across epithelial boundaries in general in adult mammals."
"GO:0002417","B cell antigen processing and presentation mediated by B cell receptor uptake of antigen","biological_process","B cell antigen processing and presentation which is initiated by uptake of antigen bound to the B cell receptor."
"GO:0002418","immune response to tumor cell","biological_process","An immune system process that functions in the response of an organism to a tumor cell."
"GO:0002421","B cell antigen processing and presentation following pinocytosis","biological_process","B cell antigen processing and presentation which is initiated by uptake of antigen via pinocytosis."
"GO:0002423","natural killer cell mediated immune response to tumor cell","biological_process","An immune response mediated by a natural killer cell triggered in response to the presence of a tumor cell."
"GO:0002424","T cell mediated immune response to tumor cell","biological_process","An immune response mediated by a T cell triggered in response to the presence of a tumor cell."
"GO:0002426","immunoglobulin production in mucosal tissue","biological_process","The synthesis and release of immunoglobulin in the mucosal tissue."
"GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","biological_process","The process in which an antigen-presenting cell expresses peptide antigen in association with an MHC class Ib protein complex on its cell surface. The peptide antigen may originate from an endogenous or exogenous protein. Class Ib here refers to non-classical class I molecules, such as those of the HLA-E family."
"GO:0002429","immune response-activating cell surface receptor signaling pathway","biological_process","A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of a cell capable of activating or perpetuating an immune response."
"GO:0002431","Fc receptor mediated stimulatory signaling pathway","biological_process","A series of molecular signals generated as a consequence of a the binding of the Fc portion of an immunoglobulin by an Fc receptor capable of activating or perpetuating an immune response. The Fc portion of an immunoglobulin is its C-terminal constant region."
